RovbaseID,Funnetdato,Skadetype,Rase,"Rase, annet","Skadedato, fra","Skadedato, til",Usikker skadedato,Kjønn,Alder,Antall,Tilstand,Skadeårsak,Vurdering,Skadested,KommuneID,Nord (opprinnelig),Øst (opprinnelig),Nord (UTM33/SWEREF99 TM),Øst (UTM33/SWEREF99 TM),Nord (RT90),Øst (RT90),Koordinatsystem,Stedkvalitet,Kommune,Fylkenummer,Fylke
K470065,14.07.2016,Sau,Norsk kvit sau,,13.07.2016,14.07.2016,Ja,Hunn,Under 1 år,1,Skadd og ikke avlivet,Bjørn,Antatt sikker,Utmark,1-5034,7048272,644106,7048744,345830,7053133,1305768,WGS84-UTM Sone 32,Særs god,Meråker (N),1-50,Trøndelag (N)
K470069,14.07.2016,Sau,Norsk kvit sau,,13.07.2016,14.07.2016,Ja,Hann,Under 1 år,1,Skadd og ikke avlivet,Bjørn,Antatt sikker,Utmark,1-5034,7048341,346620,7048341,346620,7052720,1306553,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N)
K470071,14.07.2016,Sau,Norsk kvit sau,,13.07.2016,14.07.2016,Ja,Hunn,Voksen,1,Skadd og avlivet,Bjørn,Dokumentert,Utmark,1-5034,7048272,644106,7048744,345830,7053133,1305768,WGS84-UTM Sone 32,Særs god,Meråker (N),1-50,Trøndelag (N)
K471049,01.08.2016,Sau,Norsk kvit sau,,15.07.2016,01.08.2016,Ja,Ukjent,Under 1 år,1,Dødt,Ukjent,Usikker,Utmark,1-5034,7045813,642923,7046407,344422,7050812,1304329,WGS84-UTM Sone 32,Særs god,Meråker (N),1-50,Trøndelag (N)
K503786,09.07.2019,Sau,Norsk kvit sau,,10.06.2019,24.06.2019,Ja,Hunn,Voksen,1,Skadd og ikke avlivet,Ulv,Antatt sikker,Utmark,1-5034,7043310,644936,7043726,346192,7048108,1306066,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N)
K503930,14.07.2019,Sau,Norsk kvit sau,,23.06.2019,25.06.2019,Ja,Hunn,Under 1 år,1,Dødt,Ulv,Antatt sikker,Utmark,1-5034,7044784,644791,7045207,346186,7049590,1306079,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N)
K503933,14.07.2019,Sau,Norsk kvit sau,,24.06.2019,24.06.2019,Ja,Hunn,Voksen,1,Dødt,Ukjent,Usikker,Utmark,1-5034,7044950,644687,7045382,346098,7049766,1305993,WGS84-UTM Sone 32,Mindre god,Meråker (N),1-50,Trøndelag (N)
K503935,14.07.2019,Sau,Norsk kvit sau,,23.06.2019,25.06.2019,Ja,Hunn,Under 1 år,1,Dødt,Ukjent,Usikker,Utmark,1-5034,7044934,644722,7045363,346131,7049746,1306026,WGS84-UTM Sone 32,Meget god,Meråker (N),1-50,Trøndelag (N)
K503936,15.07.2019,Sau,Norsk kvit sau,,15.06.2019,25.06.2019,Ja,Hunn,Åring,1,Dødt,Ukjent,Usikker,Utmark,1-5034,7045764,644620,7046199,346107,7050583,1306013,WGS84-UTM Sone 32,Meget god,Meråker (N),1-50,Trøndelag (N)
K503937,15.07.2019,Sau,Norsk kvit sau,,22.06.2019,25.06.2019,Ja,Hunn,Voksen,1,Dødt,Ukjent,Usikker,Utmark,1-5034,7044493,642920,7045093,344296,7049499,1304186,WGS84-UTM Sone 32,Meget god,Meråker (N),1-50,Trøndelag (N)
K504090,22.07.2019,Sau,Norsk kvit sau,,20.07.2019,20.07.2019,Nei,Hann,Under 1 år,1,Skadd og ikke avlivet,Ulv,Antatt sikker,Utmark,1-5034,7048379,643947,7048866,345682,7053256,1305621,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N)
K503352,24.06.2019,Sau,Norsk kvit sau,,10.06.2019,19.06.2019,Ja,Hunn,Voksen,1,Skadd og ikke avlivet,Ulv,Antatt sikker,Utmark,1-5034,7048872,643266,7049420,345050,7053819,1304996,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N)
K503346,25.06.2019,Sau,Norsk kvit sau,,10.06.2019,19.06.2019,Ja,Hann,Under 1 år,1,Skadd og avlivet,Ulv,Dokumentert,Utmark,1-5034,7048718,643274,7049266,345044,7053665,1304987,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N)
K503241,22.06.2019,Sau,Norsk kvit sau,,10.06.2019,18.06.2019,Ja,Hunn,Voksen,1,Skadd og avlivet,Ulv,Dokumentert,Utmark,1-5034,7046739,646785,7046967,348354,7051323,1308270,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N)
